,times,values
187,2019-10-05,0.63996625
188,2019-10-06,0.5958223
189,2019-10-07,0.70681125
190,2019-10-08,0.72965443
191,2019-10-09,0.7183063
192,2019-10-10,0.72576624
193,2019-10-11,0.71734226
194,2019-10-12,0.6245599
195,2019-10-13,0.59190875
196,2019-10-14,0.7089724
197,2019-10-15,0.7079475
198,2019-10-16,0.7114831
199,2019-10-17,0.71287096
200,2019-10-18,0.7020133
201,2019-10-19,0.63852143
202,2019-10-20,0.59024507
203,2019-10-21,0.6980119
204,2019-10-22,0.72867376
205,2019-10-23,0.7314623
206,2019-10-24,0.72954893
207,2019-10-25,0.72100466
208,2019-10-26,0.6395278
209,2019-10-27,0.61789787
210,2019-10-28,0.7055174
211,2019-10-29,0.7207592
212,2019-10-30,0.7168132
213,2019-10-31,0.70677954
214,2019-11-01,0.61033857
215,2019-11-02,0.6130913
216,2019-11-03,0.58574593
217,2019-11-04,0.7013491
218,2019-11-05,0.72392124
219,2019-11-06,0.72680306
220,2019-11-07,0.7389046
221,2019-11-08,0.7470951
222,2019-11-09,0.6747991
223,2019-11-10,0.6286249
224,2019-11-11,0.7575595
225,2019-11-12,0.7735242
226,2019-11-13,0.7768335
227,2019-11-14,0.79453725
228,2019-11-15,0.79440004
229,2019-11-16,0.71251595
230,2019-11-17,0.67321664
231,2019-11-18,0.78418654
232,2019-11-19,0.81015414
233,2019-11-20,0.8215763
234,2019-11-21,0.8157152
235,2019-11-22,0.81285965
236,2019-11-23,0.70659655
237,2019-11-24,0.65796757
238,2019-11-25,0.7740276
239,2019-11-26,0.7857544
240,2019-11-27,0.7745487
241,2019-11-28,0.7760562
242,2019-11-29,0.7582472
243,2019-11-30,0.686811
244,2019-12-01,0.6490308
245,2019-12-02,0.77615696
246,2019-12-03,0.79407144
247,2019-12-04,0.8027214
248,2019-12-05,0.7971876
249,2019-12-06,0.6870102
250,2019-12-07,0.6777451
251,2019-12-08,0.65301013
252,2019-12-09,0.73149705
253,2019-12-10,0.79442155
254,2019-12-11,0.81011075
255,2019-12-12,0.82512176
256,2019-12-13,0.793677
257,2019-12-14,0.7039558
258,2019-12-15,0.6602196
259,2019-12-16,0.7802951
260,2019-12-17,0.78694504
261,2019-12-18,0.7922574
262,2019-12-19,0.7937285
263,2019-12-20,0.7574836
264,2019-12-21,0.6668158
265,2019-12-22,0.6211883
266,2019-12-23,0.6755819
267,2019-12-24,0.6221476
268,2019-12-25,0.5414525
269,2019-12-26,0.6322206
270,2019-12-27,0.6741505
271,2019-12-28,0.6469631
272,2019-12-29,0.61726516
273,2019-12-30,0.689974
274,2019-12-31,0.6565143
275,2020-01-01,0.57477677
276,2020-01-02,0.72352237
277,2020-01-03,0.7546453
278,2020-01-04,0.70239085
279,2020-01-05,0.6519675
280,2020-01-06,0.6302596
281,2020-01-07,0.7890316
282,2020-01-08,0.8201437
283,2020-01-09,0.8207696
284,2020-01-10,0.8147598
285,2020-01-11,0.7325317
286,2020-01-12,0.69344914
287,2020-01-13,0.8291579
288,2020-01-14,0.8444161
289,2020-01-15,0.8329103
290,2020-01-16,0.8228273
291,2020-01-17,0.8076538
292,2020-01-18,0.729673
293,2020-01-19,0.6898209
