times,values
2019-11-03,0.58574593
2019-11-04,0.7013491
2019-11-05,0.72392124
2019-11-06,0.72680306
2019-11-07,0.7389046
2019-11-08,0.7470951
2019-11-09,0.6747991
2019-11-10,0.6286249
2019-11-11,0.7575595
2019-11-12,0.7735242
2019-11-13,0.7768335
2019-11-14,0.79453725
2019-11-15,0.79440004
2019-11-16,0.71251595
2019-11-17,0.67321664
2019-11-18,0.78418654
2019-11-19,0.81015414
2019-11-20,0.8215763
2019-11-21,0.8157152
2019-11-22,0.81285965
2019-11-23,0.70659655
2019-11-24,0.65796757
2019-11-25,0.7740276
2019-11-26,0.7857544
2019-11-27,0.7745487
2019-11-28,0.7760562
2019-11-29,0.7582472
2019-11-30,0.686811
2019-12-01,0.6490308
2019-12-02,0.77615696
2019-12-03,0.79407144
2019-12-04,0.8027214
2019-12-05,0.7971876
2019-12-06,0.6870102
2019-12-07,0.6777451
2019-12-08,0.65301013
2019-12-09,0.73149705
2019-12-10,0.79442155
2019-12-11,0.81011075
2019-12-12,0.82512176
2019-12-13,0.793677
2019-12-14,0.7039558
2019-12-15,0.6602196
2019-12-16,0.7802951
2019-12-17,0.78694504
2019-12-18,0.7922574
2019-12-19,0.7937285
2019-12-20,0.7574836
2019-12-21,0.6668158
2019-12-22,0.6211883
2019-12-23,0.6755819
2019-12-24,0.6221476
2019-12-25,0.5414525
2019-12-26,0.6322206
2019-12-27,0.6741505
2019-12-28,0.6469631
2019-12-29,0.61726516
2019-12-30,0.689974
2019-12-31,0.6565143
2020-01-01,0.57477677
2020-01-02,0.72352237
2020-01-03,0.7546453
2020-01-04,0.70239085
2020-01-05,0.6519675
2020-01-06,0.6302596
2020-01-07,0.7890316
2020-01-08,0.8201437
2020-01-09,0.8207696
2020-01-10,0.8147598
2020-01-11,0.7325317
2020-01-12,0.69344914
2020-01-13,0.8291579
2020-01-14,0.8444161
2020-01-15,0.8329103
2020-01-16,0.8228273
2020-01-17,0.8076538
2020-01-18,0.729673
2020-01-19,0.6898209
2020-01-20,0.8461069
2020-01-21,0.8621326
2020-01-22,0.8417062
2020-01-23,0.8294271
2020-01-24,0.8211362
2020-01-25,0.7342654
2020-01-26,0.67636925
2020-01-27,0.8076157
2020-01-28,0.8070017
2020-01-29,0.7921625
2020-01-30,0.77820355
2020-01-31,0.76544863
2020-02-01,0.68147194
2020-02-02,0.62501645
2020-02-03,0.72932905
2020-02-04,0.7478928
2020-02-05,0.7589878
2020-02-06,0.76975465
2020-02-07,0.77248853
2020-02-08,0.69819957
2020-02-09,0.6467871
2020-02-10,0.74950445
2020-02-11,0.7610084
2020-02-12,0.76655835
2020-02-13,0.7595322
